,latitude,longitude,address,birth_place
aaron brooks,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",Washington
aaron gordon,36.7014631,-118.7559974,"California, United States of America",California
aaron gray,36.7014631,-118.7559974,"California, United States of America",California
aaron harrison,31.8160381,-99.5120986,"Texas, United States of America",Texas
aaron james,30.8703881,-92.007126,"Louisiana, United States of America",Louisiana
aaron mckie,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
aaron miles,43.9792797,-120.737257,"Oregon, United States of America",Oregon
aaron swinson,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
aaron williams,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
abdel nader,26.2540493,29.2675469,مصر,Egypt
abdul jeelani,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
ac green,43.9792797,-120.737257,"Oregon, United States of America",Oregon
acie earl,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
acie law,31.8160381,-99.5120986,"Texas, United States of America",Texas
adam harrington,42.3788774,-72.032366,"Massachusetts, United States of America",Massachusetts
adam keefe,36.7014631,-118.7559974,"California, United States of America",California
adam morrison,47.3752671,-109.6387579,"Montana, United States of America",Montana
adonal foyle,12.90447,-61.2765569,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
adonis jordan,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
adonis thomas,35.7730076,-86.2820081,"Tennessee, United States of America",Tennessee
adreian payne,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
adrian branch,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
adrian caldwell,31.8160381,-99.5120986,"Texas, United States of America",Texas
adrian dantley,38.8949549,-77.0366456,"Washington, District of Columbia, United States of America",District of Columbia
adrian griffin,38.27312,-98.5821872,"Kansas, United States of America",Kansas
adrian smith,37.5726028,-85.1551411,"Kentucky, United States of America",Kentucky
aj bramlett,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
aj english,38.6920451,-75.4013315,"Delaware, United States of America",Delaware
aj guyton,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
aj hammons,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
aj price,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
aj wynder,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
al attles,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
al bianchi,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
al butler,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
al carlson,36.7014631,-118.7559974,"California, United States of America",California
al cervi,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
al eberhard,41.9216734,-93.3122705,"Iowa, United States of America",Iowa
al ferrari,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
al fleming,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
al guokas,40.9699889,-77.7278831,"Pennsylvania, United States of America",Pennsylvania
al harrington,40.0757384,-74.4041622,"New Jersey, United States of America",New Jersey
al horford,19.0974031,-70.3028026,R.D.,Dominican Republic
al jackson,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
al jefferson,32.9715645,-89.7348497,"Mississippi, United States of America",Mississippi
al skinner,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
al thornton,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
al tucker,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
al wood,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
al-farouq aminu,32.3293809,-83.1137366,"Georgia, United States of America",Georgia
alaa abdelnaby,26.2540493,29.2675469,مصر,Egypt
alan anderson,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
alan hardy,43.6211955,-84.6824346,"Michigan, United States of America",Michigan
alan henderson,40.3270127,-86.1746933,"Indiana, United States of America",Indiana
alan ogg,40.2253569,-82.6881395,"Ohio, United States of America",Ohio
alan sawyer,36.7014631,-118.7559974,"California, United States of America",California
alan williams,34.395342,-111.7632755,"Arizona, United States of America",Arizona
alando tucker,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
albert king,40.7306458,-73.9866136,"NYC, New York, United States of America",New York
alec burks,38.7604815,-92.5617875,"Missouri, United States of America",Missouri
alec kessler,45.9896587,-94.6113288,"Minnesota, United States of America",Minnesota
alec peters,40.0796319,-89.4339809,"Illinois, United States of America",Illinois
aleksandar djordjevic,44.1534121,20.55144,Србија,Serbia
